FIPS,Qualifying Name,State Postal Abbreviation,Summary Level,Geographic Component,State (FIPS Code),County of current residence,Census Tract,Area Name,Tribal Tract,Total Population,Total Population:,Total Population: White Alone,Total Population: Black or African American Alone,Total Population: Asian Alone,% Total Population: White Alone,% Total Population: Black or African American Alone,% Total Population: Asian Alone,Per Capita Income (In 2022 Inflation Adjusted Dollars),Population 1 Year and Over in Households in the United States: Householder Lived in Renter-Occupied Housing Units: Moved WithIn Same County,Population 1 Year and Over in Households in the United States: Householder Lived in Renter-Occupied Housing Units: Moved From Different County WithIn Same State,Population 1 Year and Over in Households in the United States: Householder Lived in Renter-Occupied Housing Units: Moved From Different State,Population 1 Year and Over in Households in the United States: Householder Lived in Renter-Occupied Housing Units: Moved From Abroad,% Population 1 Year and Over in Households in the United States: Householder Lived in Renter-Occupied Housing Units: Moved WithIn Same County,% Population 1 Year and Over in Households in the United States: Householder Lived in Renter-Occupied Housing Units: Moved From Different County WithIn Same State,% Population 1 Year and Over in Households in the United States: Householder Lived in Renter-Occupied Housing Units: Moved From Different State,% Population 1 Year and Over in Households in the United States: Householder Lived in Renter-Occupied Housing Units: Moved From Abroad,Average Commute to Work (In Min),Workers 16 Years and Over:,"Workers 16 Years and Over: Car, Truck, or Van",Workers 16 Years and Over: Public Transportation (Includes Taxicab),Workers 16 Years and Over: Bicycle,Workers 16 Years and Over: Walked,"% Workers 16 Years and Over: Car, Truck, or Van",% Workers 16 Years and Over: Public Transportation (Includes Taxicab),% Workers 16 Years and Over: Bicycle,% Workers 16 Years and Over: Walked,Gini Index
6001400100,"Census Tract 4001, Alameda County, California",ca,140,0,6,1,400100,Census Tract 4001,,3269,3269,2385,171,477,72.96,5.23,14.59,119425,33,21,42,0,1.02,0.65,1.29,0,32,1582,771,145,0,92,48.74,9.17,0,5.82,0.4228
6001400200,"Census Tract 4002, Alameda County, California",ca,140,0,6,1,400200,Census Tract 4002,,2147,2147,1535,38,251,71.5,1.77,11.69,112376,33,49,82,0,1.65,2.45,4.1,0,34,1124,312,287,37,21,27.76,25.53,3.29,1.87,0.4084
6001400300,"Census Tract 4003, Alameda County, California",ca,140,0,6,1,400300,Census Tract 4003,,5619,5619,3403,529,635,60.56,9.41,11.3,99277,425,163,202,91,7.65,2.93,3.64,1.64,36,3301,1033,921,106,97,31.29,27.9,3.21,2.94,0.4615
6001400400,"Census Tract 4004, Alameda County, California",ca,140,0,6,1,400400,Census Tract 4004,,4278,4278,2832,525,373,66.2,12.27,8.72,106887,153,50,18,9,3.72,1.22,0.44,0.22,32,2455,922,525,155,110,37.56,21.38,6.31,4.48,0.5063
6001400500,"Census Tract 4005, Alameda County, California",ca,140,0,6,1,400500,Census Tract 4005,,3949,3949,1778,1000,376,45.02,25.32,9.52,57983,277,129,93,0,7.05,3.28,2.37,0,29,2210,967,409,124,37,43.76,18.51,5.61,1.67,0.4571
6001400600,"Census Tract 4006, Alameda County, California",ca,140,0,6,1,400600,Census Tract 4006,,2058,2058,939,539,131,45.63,26.19,6.37,71778,104,42,0,12,5.12,2.07,0,0.59,39,1311,617,240,50,34,47.06,18.31,3.81,2.59,0.402
6001400700,"Census Tract 4007, Alameda County, California",ca,140,0,6,1,400700,Census Tract 4007,,4758,4758,2420,1112,398,50.86,23.37,8.36,60642,243,201,196,22,5.18,4.29,4.18,0.47,31,3099,1281,766,102,52,41.34,24.72,3.29,1.68,0.4433
6001400800,"Census Tract 4008, Alameda County, California",ca,140,0,6,1,400800,Census Tract 4008,,4335,4335,2241,664,695,51.7,15.32,16.03,75556,510,237,11,44,11.98,5.57,0.26,1.03,33,2831,1236,485,227,111,43.66,17.13,8.02,3.92,0.5274
6001400900,"Census Tract 4009, Alameda County, California",ca,140,0,6,1,400900,Census Tract 4009,,2844,2844,1104,710,174,38.82,24.96,6.12,68862,152,56,52,0,5.43,2,1.86,0,27,1942,1044,341,82,23,53.76,17.56,4.22,1.18,0.4619
6001401000,"Census Tract 4010, Alameda County, California",ca,140,0,6,1,401000,Census Tract 4010,,6277,6277,2436,1478,464,38.81,23.55,7.39,66773,361,215,19,0,5.92,3.53,0.31,0,29,3942,1449,761,242,103,36.76,19.3,6.14,2.61,0.4133
6001401100,"Census Tract 4011, Alameda County, California",ca,140,0,6,1,401100,Census Tract 4011,,5537,5537,2436,940,1005,43.99,16.98,18.15,68556,645,271,131,0,11.96,5.03,2.43,0,36,3480,1176,1314,122,67,33.79,37.76,3.51,1.93,0.4696
6001401200,"Census Tract 4012, Alameda County, California",ca,140,0,6,1,401200,Census Tract 4012,,2994,2994,1864,239,458,62.26,7.98,15.3,85314,252,174,118,0,8.56,5.91,4.01,0,31,2005,764,544,111,25,38.1,27.13,5.54,1.25,0.45
